"SpecCode","Species","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","SpecimenType","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
3710,"Alloclinus holderi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3568,"Anisotremus davidsonii",5646,3764,NA,83530,35.6,46.2,"TL",NA,NA,4,"unsexed",0.0188,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh","Santo Domingo",NA,"484","Length type presumably total length.",3,2010-02-10,NA,2010-02-11,NA,NA,NA
3523,"Apogon guadalupensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3235,"Atherinops affinis",5255,3431,623,59092,4.4,17.7,"SL",NA,"Yes",198,"mixed",0.04,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","coastal streams' mouths, northwestern Baja California (32°23'01"" N--30°02'32.5"" N), 1983-97",59092,"484",NA,3,2008-12-15,65,2015-06-23,NA,NA,NA
3235,"Atherinops affinis",36709,3431,NA,72146,4.4,17.7,"TL",NA,NA,198,"unsexed",0.04,NA,2.5,0.97,NA,NA,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","northwestern Baja California / 1983-1997",NA,"484",NA,65,2015-07-02,NA,2015-07-02,NA,NA,NA
4276,"Balistes polylepis",5925,4472,445,78739,15,48,"TL",NA,NA,NA,"unsexed",0.0547,NA,2.66,0.91012,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Playa Norte, Mazatlán, Sinaloa, 2000-2001",78739,"484",NA,3,2008-12-19,NA,2008-12-19,NA,NA,NA
4276,"Balistes polylepis",36053,4472,NA,91172,5.2,42.8,"TL",NA,NA,79,"unsexed",0.043,0.043,2.71,0.781,NA,0.0179999992251396,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",91172,"484",NA,393,2014-07-31,NA,2014-07-31,NA,NA,NA
4276,"Balistes polylepis",42816,4472,NA,118191,5.8,31,"TL",NA,NA,101,"unsexed",0.042,NA,2.701,0.982,NA,NA,NA,NA,0.034000001847744,0.0500000007450581,2.63499999046326,2.76699995994568,"Type I linear regression",NA,"Bahia Magdalena-Almejas lagoon system / 2014-2015.",NA,"484",NA,65,2019-10-25,NA,2019-10-25,NA,NA,NA
3625,"Brachyistius frenatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3539,"Caulolatilus princeps",5618,3735,308,40637,62.2,62.2,"TL",NA,NA,1,"unsexed",0.0239,0.0239,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"L-W relationship calculated from data in Ref. 40637.",3,2002-04-12,NA,2002-04-13,NA,NA,NA
3646,"Chromis punctipinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3628,"Embiotoca jacksoni",11226,3824,NA,91739,7.5,22,"SL",NA,NA,614,"mixed",0.0616,NA,2.8636,0.9629,NA,NA,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","southern California, 2004-2005",91739,"840",NA,393,2012-11-17,NA,2012-11-19,NA,NA,NA
3723,"Gibbonsia elegans",40940,3919,NA,115897,1.86,13.18,"SL",NA,NA,114,"unsexed",0.00857,NA,3.104,0.932,NA,NA,NA,NA,NA,NA,2.94600009918213,3.26099991798401,"Type I linear regression","fresh","Baja California peninsula / 2006-2008",NA,"484",NA,65,2017-09-12,NA,2017-09-12,NA,NA,NA
3594,"Girella nigricans",40944,3790,NA,115897,2.01,12.87,"SL",NA,NA,492,"unsexed",0.0151,NA,3.36,0.981,NA,NA,NA,NA,NA,NA,3.31900000572205,3.40100002288818,"Type I linear regression","fresh","Baja California peninsula / 2006-2008",NA,"484",NA,65,2017-09-12,NA,2017-09-12,NA,NA,NA
2613,"Gymnothorax mordax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3667,"Halichoeres semicinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
739,"Heterodontus francisci",44073,755,NA,122638,13.5,47.6,"TL",NA,NA,22,"unsexed",0.006,NA,3.06,0.98,NA,NA,NA,NA,0.00300000002607703,0.0120000001043081,2.82999992370605,3.28999996185303,"type I linear regression",NA,"North western coast / 2009-2013.",NA,"484",NA,65,2020-08-14,NA,2020-08-14,NA,NA,NA
3728,"Heterostichus rostratus",41657,3924,NA,117883,NA,NA,"TL",NA,NA,NA,"mixed",0.00221,NA,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","southern California, 2012-2015",117883,"840",NA,3,2018-04-26,NA,2018-04-26,NA,NA,NA
3648,"Hypsypops rubicundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3885,"Lythrypnus dalli",5751,4081,405,59088,0.99,4.82,"TL",NA,NA,1106,"unsexed",0.00992,NA,2.973,0.9293,NA,0.0240000002086163,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003",59088,"484",NA,3,2008-12-10,NA,2011-11-03,NA,NA,NA
3889,"Lythrypnus zebra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3597,"Medialuna californiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3670,"Oxyjulis californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3747,"Paraclinus integripinnis",40947,3943,NA,115897,1.48,4.74,"SL",NA,NA,160,"unsexed",0.0146,NA,2.863,0.804,NA,NA,NA,NA,NA,NA,2.64000010490417,3.08599996566772,"Type I linear regression","fresh","Baja California peninsula / 2006-2008",NA,"484",NA,65,2017-09-12,NA,2017-09-12,NA,NA,NA
3335,"Paralabrax clathratus",5292,3531,289,1242,NA,NA,"TL",NA,NA,NA,"unsexed",0.00273,0.00273,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Southern California, 20 m",1242,"840",NA,3,1996-07-18,NA,1996-07-18,NA,NA,NA
3337,"Paralabrax nebulifer",5295,3533,289,6323,67,67,"TL",NA,NA,1,"unsexed",0.01988,0.01988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from data given in Reference.",1,1999-06-17,NA,1999-06-17,NA,NA,NA
3639,"Rhacochilus toxotes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3640,"Rhacochilus vacca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3847,"Rhinogobiops nicholsii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3943,"Scorpaena guttata",10932,4139,NA,86316,10,26,"TL",NA,NA,30,"unsexed",0.033,NA,2.996,0.963,NA,NA,NA,NA,NA,NA,2.77600002288818,3.21600008010864,"Type I linear regression","fresh","Baja California Sur / 2004 - 2006",NA,"484",NA,65,2012-08-02,NA,2012-08-02,NA,NA,NA
3950,"Sebastes atrovirens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3951,"Sebastes auriculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,"Sebastes serriceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3671,"Semicossyphus pulcher",5698,3867,362,40637,69.8,76.2,"TL",NA,NA,2,"unsexed",0.0289,0.0289,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"L-W relationship calculated from data in Ref. 40637.",3,2002-04-13,NA,2002-04-13,NA,NA,NA
382,"Seriola lalandi",1660,396,314,771,NA,NA,"FL",NA,NA,NA,"unsexed",0.0432,0.03121,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Southern California, 33° N 118° W",771,"840",NA,3,1996-04-07,NA,1996-04-07,NA,NA,NA
382,"Seriola lalandi",1661,396,314,3678,NA,NA,"FL",NA,NA,NA,"unsexed",0.0639,0.04744,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,3670,"710",NA,3,1992-05-31,3,1995-09-18,NA,NA,NA
382,"Seriola lalandi",1662,396,314,4332,NA,NA,NA,NA,NA,NA,"unsexed",0.0322,NA,2.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,NA,"710",NA,3,1992-07-08,3,2012-03-29,NA,NA,NA
382,"Seriola lalandi",1663,396,314,54100,NA,NA,"FL",NA,NA,NA,"mixed",0.0246,0.01778,2.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","North Island, northern coast",NA,"554",NA,3,2005-04-23,NA,2005-04-23,NA,NA,NA
382,"Seriola lalandi",43621,396,NA,119023,NA,NA,"TL",NA,NA,14,"unsexed",0.03838,NA,2.6251,0.98,0.625999987125397,0.0949999988079071,NA,NA,NA,NA,NA,NA,"type I or II with correction",NA,"Western Australia: South Coast, 2011-2016.",NA,"036",NA,65,2020-04-30,NA,2020-05-05,NA,NA,NA
382,"Seriola lalandi",43622,396,NA,119023,NA,NA,"TL",NA,NA,44,"unsexed",0.04442,NA,2.5831,0.96,0.542999982833862,0.0829999968409538,NA,NA,NA,NA,NA,NA,"type I or II with correction",NA,"Western Australia: Statewide, 2011-2016.",NA,"036",NA,65,2020-04-30,NA,2020-05-05,NA,NA,NA
382,"Seriola lalandi",43623,396,NA,119023,NA,NA,"TL",NA,NA,30,"unsexed",0.05151,NA,2.5446,0.95,0.745999991893768,0.114000000059605,NA,NA,NA,NA,NA,NA,"type I or II with correction",NA,"Western Australia: West Coast, 2011-2016.",NA,"036",NA,65,2020-04-30,NA,2020-05-05,NA,NA,NA
382,"Seriola lalandi",42997,396,NA,121506,NA,NA,"FL",NA,NA,NA,"unsexed",0.03374,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nonlinear regression","fresh","Unspecified",121507,"710","Converted from mm from Ref. 121506 (Appendix A).",2448,2020-01-14,NA,2020-01-14,NA,NA,NA
3310,"Stereolepis gigas",5283,3506,513,6323,226,226,"TL",NA,NA,1,"unsexed",0.02214,0.02214,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from data given in Reference.",1,1999-06-17,NA,1999-06-17,NA,NA,NA
NA,"Trachurus scombrinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
