Site,Season,Tran,MAPY_H_plant,MAPY_H_stipe,SAHO_H ,SAPA_H ,SAMU_H ,STOS_H,MAPY_DENS,SAHO_DENS,SAPA_DENS,STOS_DENS
ARROW,FALL,1,300,300,9.326666667,,8,22,0.383333333,5.6,0,0.8
ARROW,FALL,2,108.3333333,135,12.95215336,18.5,,14,0.333333333,46.4,1.6,0.4
ARROW,FALL,3,83.33333333,94.44444444,17.01369207,16,,,0.3,49.6,0.4,0
ARROW,FALL,4,177.2727273,213.3333333,16.4122449,10,,,0.75,15.6,0.8,0
BEYOND,FALL,1,170,509.3457944,21.52118715,,18.5,13.70833333,3.566666667,24,0,5.2
BEYOND,FALL,2,200,481.7829457,20.5,,,25.33333333,8.6,3.6,0,4.4
BEYOND,FALL,3,263.6363636,518.0914513,30.58333333,,,29.3,8.383333333,2.8,0,5.2
BEYOND,FALL,4,50,529.4930876,14.14444444,,,17.16666667,7.233333333,14.8,0,2.4
EMPIRE,FALL,1,,,10.57142857,19.625,12,,0,14.8,5.2,0
EMPIRE,FALL,2,,,11.64753765,16.46666667,9.222222222,,0,22,3.2,0
EMPIRE,FALL,3,,,8.533333333,12.86111111,11.55,,0,4.4,6.4,0
EMPIRE,FALL,4,,,13.02840909,20,14,,0,13.6,0.8,0
INDIANS,FALL,1,150,150,10.54761905,10.86666667,,11.5,0.1,12.8,4.8,0.8
INDIANS,FALL,2,200,200,9.863475087,10.5,8.75,18.5,0.083333333,26.4,1.2,0.8
INDIANS,FALL,3,,,9.703033626,12,13,,0,24.8,4.4,0
INDIANS,FALL,4,,,,15,15,,0,0,1.2,0
ISTHMUS,FALL,1,283.3333333,292.1052632,12.22,13.5,7.25,15,0.633333333,10.8,0.8,1.6
ISTHMUS,FALL,2,,,11.54285714,14.875,9,22,0,10.4,12,3.2
ISTHMUS,FALL,3,50,50,10.63888889,15,8.75,14,0.133333333,6.8,5.2,1.2
ISTHMUS,FALL,4,,,7.333333333,8,8,,0,3.6,0.4,0
PARADISE,FALL,1,,,10.83928571,11.58333333,11.86666667,10,0,13.2,10.8,0.8
PARADISE,FALL,2,,,13.21428571,24.79166667,,,0,5.2,2.8,0
PARADISE,FALL,3,,,15.1,19.16666667,10,,0,4,14,0
PARADISE,FALL,4,,,8.5,12,10,,0,2.4,2,0
PARSONS,FALL,1,233.3333333,361.5183246,10.5,,,10.625,3.183333333,10.8,0,2
PARSONS,FALL,2,88.88888889,330,14.75243484,,5,,1.666666667,53.2,0,0
PARSONS,FALL,3,184.6153846,264.5833333,11.03660131,15,,14.5,1.2,19.6,0.4,1.6
PARSONS,FALL,4,,,9.240530303,9.8,9.5,12.5,0,14.8,4.8,2
ARROW,SPRING,1,,,93.24107143,30,,,0,17.6,1.2,0
ARROW,SPRING,2,,,128.8888889,30,,,0,25.6,0.4,0
ARROW,SPRING,3,400,400,106.6,60,,25.66666667,0.033333333,18,0.8,1.2
ARROW,SPRING,4,300,300,102.2222222,,,30,0.016666667,20,0,0.4
BEYOND,SPRING,1,183.3333333,357.6923077,99.4,60,,23.33333333,0.216666667,37.2,0.4,2
BEYOND,SPRING,2,150,150,51.11111111,,,30.28571429,0.033333333,14.8,0,14
BEYOND,SPRING,3,216.6666667,359.5238095,74,,,10,0.35,11.2,0,0.4
BEYOND,SPRING,4,135.7142857,147.2222222,69,,,45.8,0.3,12,0,10.4
EMPIRE,SPRING,1,,,83.48214286,,45,,0,28,0,0
EMPIRE,SPRING,2,,,85,,,,0,15.2,0,0
EMPIRE,SPRING,3,,,52.71428571,21,32.5,30,0,13.6,0.8,1.2
EMPIRE,SPRING,4,,,87.5,21,,,0,6.8,0.4,0
INDIANS,SPRING,1,50,50,84.22222222,25.5,,20,0.033333333,24,2.4,1.6
INDIANS,SPRING,2,,,87.75,,,,0,18,0,0
INDIANS,SPRING,3,,,134.6666667,20.33333333,,,0,10,2,0
INDIANS,SPRING,4,,,72.5,20.33333333,,,0,7.2,1.2,0
ISTHMUS,SPRING,1,,,82.85714286,,,15,0,17.2,0,0.4
ISTHMUS,SPRING,2,,,92.66666667,25.5,35,15,0,23.2,1.2,1.2
ISTHMUS,SPRING,3,,,80,18.66666667,,,0,36,2,0
ISTHMUS,SPRING,4,,,56.66666667,13.66666667,,,0,11.2,1.2,0
PARADISE,SPRING,1,,,67.15909091,22.5,,,0,25.6,1.2,0
PARADISE,SPRING,2,,,79.66666667,15,,,0,2.8,0.4,0
PARADISE,SPRING,3,,,56.25,,,,0,8,0,0
PARADISE,SPRING,4,,,51.66666667,20,41.66666667,,0,9.2,1.6,0
PARSONS,SPRING,1,100,127.5862069,83.76666667,28.5,,22.33333333,0.483333333,18.4,1.6,1.2
PARSONS,SPRING,2,190,206.25,64,,,24.25,0.133333333,20.4,0,1.6
PARSONS,SPRING,3,135,164.2857143,45.81428571,,,24,0.35,24,0,5.6
PARSONS,SPRING,4,183.3333333,216.6666667,57.4,37.5,,12.5,0.1,37.6,1.6,1.6
ARROW,SUMMER,1,256.25,398.8505747,10.4952381,,4,11.875,1.45,7.6,0,2
ARROW,SUMMER,2,175,204.5454545,16.47857143,,5.367692308,,0.183333333,18.4,0,0
ARROW,SUMMER,3,230,256.7567568,7.388293651,,,13,0.616666667,24,0,0.4
ARROW,SUMMER,4,231.25,264.4444444,6.404761905,,,23,0.75,6.8,0,0.4
BEYOND,SUMMER,1,477.7777778,664.1666667,7.488585859,,,14,2,18.8,0,2
BEYOND,SUMMER,2,652.6315789,790.1041667,6.061453028,,,18.5,6.4,38,0,6.4
BEYOND,SUMMER,3,688.8888889,704.4871795,7.683636364,,,23,2.6,11.2,0,1.2
BEYOND,SUMMER,4,627.3972603,772.9963009,5.496031746,,,22.525,13.51666667,19.6,0,4
EMPIRE,SUMMER,1,,,6.611111111,,,,0,12.8,0,0
EMPIRE,SUMMER,2,,,9.333333333,,4.861111111,,0,3.2,0,0
EMPIRE,SUMMER,3,,,6,,7.19047619,,0,0.4,0,0
EMPIRE,SUMMER,4,,,32.5,,,,0,0.8,0,0
INDIANS,SUMMER,1,162.5,185,7.517857143,,,,0.166666667,13.6,0,0
INDIANS,SUMMER,2,,,9.002163818,,4,,0,99.2,0,0
INDIANS,SUMMER,3,,,6.0625,,,14,0,3.2,0,5.6
INDIANS,SUMMER,4,,,7.194444444,,,,0,6,0,0
ISTHMUS,SUMMER,1,300,300,7.142857143,,4.111111111,,0.55,3.6,0,0
ISTHMUS,SUMMER,2,75,88.88888889,7.111111111,21,,18.11111111,0.15,3.2,1.2,2
ISTHMUS,SUMMER,3,50,50,8.160714286,11.29166667,6.5,,0.033333333,4.4,6,0
ISTHMUS,SUMMER,4,,,7.666666667,12,,,0,1.6,1.2,0
PARADISE,SUMMER,1,,,7.958333333,,8,,0,2.8,0,0
PARADISE,SUMMER,2,,,6.833333333,32,,,0,2,0.4,0
PARADISE,SUMMER,3,,,7.083333333,,,,0,5.2,0,0
PARADISE,SUMMER,4,,,,,,,0,0,0,0
PARSONS,SUMMER,1,177.7777778,274.4444444,8.536111111,,6,15.125,1.5,18,0,2
PARSONS,SUMMER,2,327.7777778,389.5631068,6.767162698,,6,14.5,3.433333333,23.6,0,1.6
PARSONS,SUMMER,3,213.6363636,280,8.035452643,,20,17.79166667,1.333333333,22,0,8
PARSONS,SUMMER,4,100,100,15.18452381,,10.2,17.83333333,0.033333333,8.8,0,1.6
ARROW,SUMMER-2,1,50,50,31.0125,,,25,0.05,4.4,0,1.6
ARROW,SUMMER-2,2,,,60.2,,,,0,5.2,0,0
ARROW,SUMMER-2,3,119.2307692,122.5,7,,,,0.666666667,0.8,0,0
ARROW,SUMMER-2,4,66.66666667,80,16.6,,,,0.166666667,2.4,0,0
BEYOND,SUMMER-2,1,72.34042553,392.5182482,16.66666667,,,13.33333333,9.133333333,1.2,0,2.4
BEYOND,SUMMER-2,2,62.5,469.1275168,,,,22.85714286,7.45,0,0,9.6
BEYOND,SUMMER-2,3,87.5,407.2072072,10,,,34.25,1.85,0.4,0,4.8
BEYOND,SUMMER-2,4,50,372.65625,,,,32,2.133333333,0,0,6
EMPIRE,SUMMER-2,1,,,20.4,14,,12,0,4,1.2,0.4
EMPIRE,SUMMER-2,2,,,7,12.66666667,,,0,0.8,1.2,0
EMPIRE,SUMMER-2,3,,,42.5,23.6,,,0,1.6,8.8,0
EMPIRE,SUMMER-2,4,,,40,21,,,0,0.8,2.4,0
INDIANS,SUMMER-2,1,,,65.82539683,,,,0,8.8,0,0
INDIANS,SUMMER-2,2,,,57.66666667,21,,,0,3.2,0.4,0
INDIANS,SUMMER-2,3,,,44,14,,,0,3.6,1.6,0
INDIANS,SUMMER-2,4,,,39.77619048,23,,,0,8,0.8,0
ISTHMUS,SUMMER-2,1,,,78.875,12,12,35,0,4,1.6,0.8
ISTHMUS,SUMMER-2,2,,,85,18,,17.5,0,2,5.2,0.8
ISTHMUS,SUMMER-2,3,,,35.5,10,,,0,2.8,0.4,0
ISTHMUS,SUMMER-2,4,,,31.4,20.33333333,,,0,6.4,4,0
PARADISE,SUMMER-2,1,,,23.16666667,17.16666667,,,0,4,10,0
PARADISE,SUMMER-2,2,,,35,21,,,0,0.8,2,0
PARADISE,SUMMER-2,3,,,38.25,11.6,,,0,2.4,4,0
PARADISE,SUMMER-2,4,,,15,15,,,0,0.8,0.4,0
PARSONS,SUMMER-2,1,71.69811321,374.9363868,7,,,26.66666667,13.1,0.8,0,2.4
PARSONS,SUMMER-2,2,90,390.5533063,29,,,18.8,12.35,0.8,0,4.4
PARSONS,SUMMER-2,3,57.01754386,327.6748971,,15.5,,11.8,8.1,0,0.8,3.2
PARSONS,SUMMER-2,4,65.38461538,313.5964912,15.5,22.33333333,,14,3.8,0.8,1.2,2
ARROW,WINTER,1,,,67.95968615,30,,,0,26,0.4,0
ARROW,WINTER,2,50,50,44.10714286,30,50,,0.016666667,16.4,4,0
ARROW,WINTER,3,200,200,106.6,24,,25,0.116666667,26.4,3.6,0.8
ARROW,WINTER,4,,,61.47619048,21,,,0,17.6,0.4,0
BEYOND,WINTER,1,121.4285714,586.25,50.32925327,27,13.75,10,0.666666667,29.6,8,3.2
BEYOND,WINTER,2,200,285,27.997595,30,,31.16666667,0.333333333,54.8,1.2,11.2
BEYOND,WINTER,3,183.3333333,432.3529412,34.53968254,,,30,0.566666667,16.8,0,4.4
BEYOND,WINTER,4,200,340,37.32967033,,,41.75,0.333333333,18.4,0,13.6
EMPIRE,WINTER,1,,,38.27516234,,20,10,0,39.6,0,2.4
EMPIRE,WINTER,2,,,59.81299603,,17.5,,0,30,0,0
EMPIRE,WINTER,3,,,67.5,12.5,16,,0,2.8,5.2,0
EMPIRE,WINTER,4,,,44.13131313,15,,,0,16.8,4,0
INDIANS,WINTER,1,,,35.83333333,17.33333333,15,15,0,7.6,1.6,1.2
INDIANS,WINTER,2,,,109.2857143,40,40,,0,24.8,0.4,0
INDIANS,WINTER,3,,,54.70172684,37.5,23.33333333,,0,26.4,3.6,0
INDIANS,WINTER,4,,,36.60714286,22.5,,,0,8,1.2,0
ISTHMUS,WINTER,1,100,100,19.7985348,10,25,,0.05,32,2,0
ISTHMUS,WINTER,2,,,23.33333333,12.5,27.85714286,,0,25.2,2.8,0
ISTHMUS,WINTER,3,,,13.52941176,10,15,10,0,38.8,2.4,3.6
ISTHMUS,WINTER,4,,,10,10,15,,0,2.4,4.4,0
PARADISE,WINTER,1,,,26.34469697,10,15,,0,9.6,0.8,0
PARADISE,WINTER,2,,,31.97916667,13.33333333,23.75,,0,9.6,3.2,0
PARADISE,WINTER,3,,,28.75,25.5,30,,0,10.8,2.4,0
PARADISE,WINTER,4,,,23.33333333,21,15,,0,6,1.6,0
PARSONS,WINTER,1,275,355.1724138,16.875,20,26.66666667,,0.483333333,17.6,1.2,0
PARSONS,WINTER,2,185.7142857,325.8064516,53.51851852,22,,15,0.516666667,14.4,2.4,0.8
PARSONS,WINTER,3,218.75,306.5217391,25.5,40,20,,0.383333333,12.8,1.2,0.4
PARSONS,WINTER,4,,,,20,15,,0,17.6,0,0.4