Species,Site,Number,Height,SQ,Vol,SA
DICO,ISTHMUS,2,,5,120,1226.428571
DICO,ISTHMUS,5,,4,80,1003
DICO,ISTHMUS,1,,9,240,998.1428571
DICO,ISTHMUS,4,,6,160,1072.714286
DICO,ISTHMUS,6,,11,280,1057
DICO,ISTHMUS,3,,10,400,1232.285714
DICO,Arrow,1,,3,10,397.314
EIAR,ISTHMUS,1,26.9,,670,2123.571429
EIAR,ISTHMUS,2,28,,350,834
EIAR,ISTHMUS,1,17,,660,7408
EIAR,ISTHMUS,2,18,,1080,3975.714286
EIAR,ISTHMUS,3,26,,1280,5993.714286
MAPY,ISTHMUS,1,136,,280,1366.285714
MAPY,ISTHMUS,2,110,,160,1002.428571
MAPY,ISTHMUS,3,103,,170,1254
MAPY,ISTHMUS,4,144,,460,2537.142857
MAPY,ISTHMUS,5,4.5,,900,3717.428571
MAPY,ISTHMUS,6,354,,1540,4656.857143
MAPY,ISTHMUS,1,253,,980,1234.857143
MAPY,ISTHMUS,2,49,,200,828.2857143
MAPY,ISTHMUS,3,36,,140,718.4285714
MAPY,ISTHMUS,4,37,,170,720
MAPY,ARROW,1,9,,20,445
MAPY,ARROW,2,8.3,,20,385.8571429
MAPY,ARROW,3,12,,80,779.8571429
MAPY,ARROW,4,68,,520,1867.428571
MAPY,ARROW,5,109,,960,4396.285714
MAPY,INFINITY,1,871,,2760,5786
MAPY,INFINITY,2,595,,1490,3658.571429
MAPY,INFINITY,3,769,,1010,6023.714286
MAPY,INFINITY,4,122,,960,1692.857143
MAPY,INFINITY,5,491,,700,1847.428571
MAPY,INFINITY,6,215,,300,1567.142857
SAHO,ARROW,1,62.5,,25,877.5714286
SAHO,ISTHMUS,1,148,,80,2477.428571
SAHO,ISTHMUS,2,149,,420,507.1428571
SAHO,ISTHMUS,3,83.8,,50,1888.428571
SAHO,ISTHMUS,4,71.5,,110,1903
SAHO,ISTHMUS,5,83,,100,3344.857143
SAHO,ISTHMUS,6,160,,680,659.4285714
SAHO,ISTHMUS,7,56,,30,1069.857143
SAHO,LIONS HEAD,1,57,,80,1609.857143
SAHO,LIONS HEAD,2,115,,100,1713.571429
SAHO,LIONS HEAD,3,193,,280,2350.428571
SAHO,LIONS HEAD,4,87,,260,3874.714286
SAHO,LIONS HEAD,5,128,,480,751.1428571
SAHO,LIONS HEAD,6,145,,510,426.8571429
SAHO,LIONS HEAD,7,40,,30,1684.571429
SAHO,LIONS HEAD,8,21.3,,10,653.8571429
SAHO,ISTHMUS,1,91,,440,2176.428571
SAHO,ISTHMUS,2,77,,120,2900.285714
SAHO,ISTHMUS,3,86.5,,300,2652.142857
SAHO,ISTHMUS,1,59.6,,20,1328.428571
SAHO,ISTHMUS,2,12.3,,10,87.71428571
SAHO,ISTHMUS,3,15,,0.1,1044.571429
SAHO,ISTHMUS,4,18,,10,151.5714286
SAHO,ISTHMUS,5,22.5,,4,187.1428571
SAHO,ISTHMUS,6,87,,220,1820.857143
SAHO,ISTHMUS,7,21.2,,3,221.7142857
SAHO,ISTHMUS,8,19.8,,3,223.4285714
SAHO,ISTHMUS,9,9.6,,1,91.85714286
SAHO,ISTHMUS,10,21,,5,339.7142857
SAHO,ISTHMUS,11,13,,4,170.1428571
SAHO,ISTHMUS,12,7.5,,2,122.1428571
SAHO,ISTHMUS,13,19.5,,5,183.1428571
SAHO,ISTHMUS,14,8,,1,59.57142857
SAHO,ISTHMUS,15,13.5,,3,196
SAHO,ISTHMUS,16,7,,1.5,91.42857143
SAHO,ISTHMUS,17,6.8,,2,203.8571429
SAHO,ISTHMUS,18,86,,400,2753.142857
SAHO,ISTHMUS,19,7.1,,11,168.5714286
SAHO,ISTHMUS,20,7.8,,3,123
SAHO,ISTHMUS,21,6.8,,3,203.8571429
SAHO,ARROW,1,20.5,,4,577
SAHO,ARROW,2,42.4,,40,1649.142857
SAHO,ARROW,3,91,,120,2758
SAHO,ARROW,4,198,,620,2666.857143
SAHO,ARROW,5,183,,1200,5117.142857
SAHO,INFINITY,1,35,,3,209.7142857
SAHO,INFINITY,2,21.8,,1,91
SAHO,INFINITY,3,29,,3,102.7142857
SAHO,INFINITY,4,35,,4,235
SAHO,INFINITY,5,93,,40,3079.857143
SAHO,INFINITY,6,102,,30,2495.857143
SAMU,ISTHMUS,1,19,,3,962.2857143
SAMU,ISTHMUS,2,16.5,,6,502
SAMU,Arrow,1,33,,40,613.7715
SAPA,CHALK,1,30.1,,190,1876
SAPA,CHALK,1,27.1,,260,1161
SAPA,LIONS HEAD,3,19.5,,80,791.5714286
SAPA,LIONS HEAD,6,21.1,,110,613.2857143
SAPA,LIONS HEAD,1,19.5,,80,940
SAPA,Isthmus,1,19.5,,20,1102.5465
SAPA,Isthmus,2,28,,10,1582.9425
SAPA,Isthmus,3,33.5,,20,1610.63975
SAPA,Isthmus,4,37,,30,2905.66075
SAPA,Isthmus,5,21,,20,1187.50025
SAPA,Isthmus,6,50,,180,8116.00225
SAPA,Isthmus,6B,50,,180,5882.53325
SAPA,Isthmus,7,73.5,,400,6968.7775
SAPA,Isthmus,7B,73.5,,400,3931.62275
SAPA,Isthmus,8,57,,100,3136.316
SAPA,Isthmus,9,38,,40,3023.89775
SAPA,Isthmus,10,48,,120,3929.76075
SAPA,Isthmus,11,39,,10,365.1945
SAPA,Isthmus,12,26.5,,20,1211.4735
SAPA,Isthmus,13,38.5,,30,1616.4585
SAPA,Arrow,1,30.4,,10,3767.9995
SAPA,Arrow,2,36.8,,20,788.334
SAPA,Arrow,3,32.3,,40,984.07675
SAPA,Arrow,4,43,,80,1178.19025
SAPA,Arrow,5,29.8,,70,938.45775
SAPA,Arrow,6,44.5,,20,1251.5065
SAPA,Arrow,7,39.6,,50,1447.71475
SAPA,Arrow,8,22,,20,682.89825
SAPA,Arrow,9,24.2,,20,371.94425
STOS,ARROW,1,36.3,,30,1217.285714
STOS,ARROW,2,40.7,,55,2624
STOS,ARROW,3,37.4,,40,1537.285714
STOS,ARROW,5,26.9,,20,253.4285714
STOS,ARROW,6,39.5,,30,315
STOS,CHALK,1,22.4,,50,1354.857143
STOS,CHALK,2,20.3,,60,556.5714286
STOS,LIONS HEAD,2,29.5,,120,907.7142857
STOS,LIONS HEAD,4,19,,120,399.2857143
STOS,LIONS HEAD,7,21.3,,50,1584.142857
STOS,LIONS HEAD,1,23.9,,100,768.2857143
STOS,ISTHMUS,1,25.5,,40,1075.428571
STOS,ARROW,1,13,,60,1789.571429
STOS,ARROW,2,14,,80,1466.428571
STOS,ARROW,3,22,,80,1250.857143
STOS,Isthmus,1,72.5,,220,1752.85
STOS,Isthmus,2,24.5,,10,105.911
STOS,Isthmus,3,34.5,,20,233.458
STOS,Isthmus,4,46,,10,140.8235
STOS,Arrow,2,21.4,,60,728.51725
STOS,Arrow,3,55.2,,90,1523.3585
STOS,Arrow,4,78.1,,180,1611.57075
STOS,Arrow,5,39.3,,40,403.59825
STOS,Arrow,6,58.7,,100,1047.6175
STOS,Arrow,7,20.6,,20,245.561
STOS,Arrow,8,56.7,,100,1315.28
STOS,Arrow,9,44.4,,60,563.032
STOS,Arrow,10,26.2,,40,1564.3225
STOS,Arrow,11,38.2,,30,472.02675
STOS,Arrow,12,56.1,,80,634.2535
STOS,Arrow,13,32.1,,30,356.35
STOS,Arrow,14,39.6,,40,639.374
STOS,Arrow,15,42.3,,40,1948.36
ZONA,ISTHMUS,1,,2,190,2012
ZONA,ISTHMUS,2,,4,160,1387.857143
ZONA,ISTHMUS,3,,7,240,445.7142857
ZONA,ISTHMUS,4,,3,60,273.1428571
ZONA,ISTHMUS,1,,6,520,1284.571429
ZONA,ISTHMUS,3,,18,220,1074.714286
ZONA,ISTHMUS,4,,5,320,1382.142857
ZONA,ISTHMUS,2,,6,300,1798.857143
ZONA,Arrow,1,,4,20,2882.153