Season,Site,Transect,Strata,QUAD,species,10,12
SUMMER,BEYOND,1,BENTHIC,2.9,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,4.5,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,7,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,11.3,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,14.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,15.5,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,18,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,23.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,25.4,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,29.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,1.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,3.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,9,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,9.5,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,14.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,16.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,20.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,22.5,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,26.9,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,28,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,0,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,4.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,7.4,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,9.7,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,14.7,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,17.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,18.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,21,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,24.3,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,28.7,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,0.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,3.4,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,7.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,9.3,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,13.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,16.9,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,19.4,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,23.8,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,26.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,27.9,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,0.4,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,4.2,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,6.5,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,11.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,13.9,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,15.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,19.2,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,22.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,25.8,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,27.1,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,0.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,4.5,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,7.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,9.7,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,14.4,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,17.1,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,20.6,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,21.1,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,24.4,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,29.1,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,2.8,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,5.8,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,8,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,10.7,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,13.7,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,17.4,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,18.2,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,23.7,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,26.4,Gibbonsia elegans,0,0
SUMMER,PARSONS,3,BENTHIC,28.7,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,2.8,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,5.6,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,6.8,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,10.9,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,14.6,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,16,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,18.6,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,22,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,24.7,Gibbonsia elegans,0,0
SUMMER,PARSONS,4,BENTHIC,29.5,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,0.1,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,5.9,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,7.7,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,11.7,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,13.6,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,17.7,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,20,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,21.4,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,25.1,Gibbonsia elegans,0,0
SUMMER,ARROW,1,BENTHIC,29.9,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,1.2,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,3.3,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,8.8,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,10.7,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,13.2,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,17.8,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,19,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,23,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,24.3,Gibbonsia elegans,0,0
SUMMER,ARROW,2,BENTHIC,27.1,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,1,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,4.2,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,7.6,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,9.3,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,13.9,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,15.5,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,20,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,22.2,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,25.8,Gibbonsia elegans,0,0
SUMMER,ARROW,3,BENTHIC,27.4,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,0.3,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,4.2,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,7.5,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,10.3,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,12.7,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,15.1,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,18.6,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,23.7,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,24.2,Gibbonsia elegans,0,0
SUMMER,ARROW,4,BENTHIC,29.8,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,2.3,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,5.5,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,8.8,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,9.5,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,13.4,Gibbonsia elegans,0,1
SUMMER,INDIANS,1,BENTHIC,16.2,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,18,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,21,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,26,Gibbonsia elegans,0,0
SUMMER,INDIANS,1,BENTHIC,28.2,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,2,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,4.9,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,6.5,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,11.8,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,13.4,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,16.2,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,21,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,23.8,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,24.7,Gibbonsia elegans,0,0
SUMMER,INDIANS,2,BENTHIC,27.4,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,1.5,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,5.2,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,6.5,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,11.6,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,14.5,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,15.7,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,18.7,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,23.1,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,26.6,Gibbonsia elegans,0,0
SUMMER,INDIANS,3,BENTHIC,29.1,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,0.3,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,5.8,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,8.5,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,11.4,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,12.4,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,16.4,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,20.5,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,22,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,25,Gibbonsia elegans,0,0
SUMMER,INDIANS,4,BENTHIC,27.5,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,0.9,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,3.4,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,8.6,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,9.6,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,14.8,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,17,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,20.3,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,23.2,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,26.4,Gibbonsia elegans,0,0
SUMMER,PARADISE,1,BENTHIC,27.7,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,2.5,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,6,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,6.8,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,10.3,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,14.9,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,15.1,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,19.8,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,22.4,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,26.4,Gibbonsia elegans,0,0
SUMMER,PARADISE,2,BENTHIC,27.5,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,1.2,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,4.9,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,7.8,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,11.6,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,13.8,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,16.5,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,20.7,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,21.9,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,26.3,Gibbonsia elegans,0,0
SUMMER,PARADISE,3,BENTHIC,28.9,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,2.3,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,5,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,6.3,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,11.8,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,13.7,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,16.9,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,19.4,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,22.4,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,24.8,Gibbonsia elegans,0,0
SUMMER,PARADISE,4,BENTHIC,27.5,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,2.1,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,4.2,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,6.3,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,10,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,14.1,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,15.5,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,19.1,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,21,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,24.6,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,1,BENTHIC,28.4,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,3,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,3.6,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,7.8,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,12,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,14.5,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,15.7,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,19.4,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,21.3,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,25.1,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,2,BENTHIC,27.2,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,0.8,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,3,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,6.8,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,11.7,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,15,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,16.9,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,18.1,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,21.5,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,25.7,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,3,BENTHIC,28.8,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,0.1,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,4.5,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,8.1,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,10.7,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,12.1,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,15.7,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,19.8,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,21.8,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,25,Gibbonsia elegans,0,0
SUMMER,ISTHMUS,4,BENTHIC,27.5,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,3,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,4.6,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,6.1,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,10.8,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,13.6,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,17.4,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,19.5,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,21.5,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,25.4,Gibbonsia elegans,0,0
SUMMER,EMPIRE,1,BENTHIC,27.2,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,2.4,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,4.5,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,6.1,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,9.8,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,14.9,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,15.3,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,18,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,22.7,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,26.5,Gibbonsia elegans,0,0
SUMMER,EMPIRE,2,BENTHIC,27.5,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,2.2,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,4.6,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,6.9,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,9.7,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,12.9,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,17,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,19.1,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,22.6,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,24,Gibbonsia elegans,0,0
SUMMER,EMPIRE,3,BENTHIC,28.6,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,0.1,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,4.8,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,6.1,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,12,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,12.3,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,15.8,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,20.4,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,21.8,Gibbonsia elegans,0,0
SUMMER,EMPIRE,4,BENTHIC,26,Gibbonsia elegans,0,0
