Season,Site,Tran,Tran_ID,Tran_ID_unq,TRAN
FALL,ARROW,A,ARROW_A,T1,1
FALL,ARROW,B,ARROW_B,T2,2
FALL,ARROW,C,ARROW_C,T3,3
FALL,ARROW,D,ARROW_D,T4,4
FALL,BEYOND,A,BEYOND_A,T5,1
FALL,BEYOND,B,BEYOND_B,T6,2
FALL,BEYOND,C,BEYOND_C,T7,3
FALL,BEYOND,D,BEYOND_D,T8,4
FALL,EMPIRE,A,EMPIRE_A,T9,1
FALL,EMPIRE,B,EMPIRE_B,T10,2
FALL,EMPIRE,C,EMPIRE_C,T11,3
FALL,EMPIRE,D,EMPIRE_D,T12,4
FALL,INDIANS,A,INDIANS_A,T13,1
FALL,INDIANS,B,INDIANS_B,T14,2
FALL,INDIANS,C,INDIANS_C,T15,3
FALL,INDIANS,D,INDIANS_D,T16,4
FALL,ISTHMUS,A,ISTHMUS_A,T17,1
FALL,ISTHMUS,B,ISTHMUS_B,T18,2
FALL,ISTHMUS,C,ISTHMUS_C,T19,3
FALL,ISTHMUS,D,ISTHMUS_D,T20,4
FALL,PARADISE,A,PARADISE_A,T21,1
FALL,PARADISE,B,PARADISE_B,T22,2
FALL,PARADISE,C,PARADISE_C,T23,3
FALL,PARADISE,D,PARADISE_D,T24,4
FALL,PARSONS,A,PARSONS_A,T25,1
FALL,PARSONS,B,PARSONS_B,T26,2
FALL,PARSONS,C,PARSONS_C,T27,3
FALL,PARSONS,D,PARSONS_D,T28,4
SPRING,ARROW,A,ARROW_A,T29,1
SPRING,ARROW,B,ARROW_B,T30,2
SPRING,ARROW,C,ARROW_C,T31,3
SPRING,ARROW,D,ARROW_D,T32,4
SPRING,BEYOND,A,BEYOND_A,T33,1
SPRING,BEYOND,B,BEYOND_B,T34,2
SPRING,BEYOND,C,BEYOND_C,T35,3
SPRING,BEYOND,D,BEYOND_D,T36,4
SPRING,EMPIRE,A,EMPIRE_A,T37,1
SPRING,EMPIRE,B,EMPIRE_B,T38,2
SPRING,EMPIRE,C,EMPIRE_C,T39,3
SPRING,EMPIRE,D,EMPIRE_D,T40,4
SPRING,INDIANS,A,INDIANS_A,T41,1
SPRING,INDIANS,B,INDIANS_B,T42,2
SPRING,INDIANS,C,INDIANS_C,T43,3
SPRING,INDIANS,D,INDIANS_D,T44,4
SPRING,ISTHMUS,A,ISTHMUS_A,T45,1
SPRING,ISTHMUS,B,ISTHMUS_B,T46,2
SPRING,ISTHMUS,C,ISTHMUS_C,T47,3
SPRING,ISTHMUS,D,ISTHMUS_D,T48,4
SPRING,PARADISE,A,PARADISE_A,T49,1
SPRING,PARADISE,B,PARADISE_B,T50,2
SPRING,PARADISE,C,PARADISE_C,T51,3
SPRING,PARADISE,D,PARADISE_D,T52,4
SPRING,PARSONS,A,PARSONS_A,T53,1
SPRING,PARSONS,B,PARSONS_B,T54,2
SPRING,PARSONS,C,PARSONS_C,T55,3
SPRING,PARSONS,D,PARSONS_D,T56,4
SUMMER,ARROW,A,ARROW_A,T57,1
SUMMER,ARROW,B,ARROW_B,T58,2
SUMMER,ARROW,C,ARROW_C,T59,3
SUMMER,ARROW,D,ARROW_D,T60,4
SUMMER,BEYOND,A,BEYOND_A,T61,1
SUMMER,BEYOND,B,BEYOND_B,T62,2
SUMMER,BEYOND,C,BEYOND_C,T63,3
SUMMER,BEYOND,D,BEYOND_D,T64,4
SUMMER,EMPIRE,A,EMPIRE_A,T65,1
SUMMER,EMPIRE,B,EMPIRE_B,T66,2
SUMMER,EMPIRE,C,EMPIRE_C,T67,3
SUMMER,EMPIRE,D,EMPIRE_D,T68,4
SUMMER,INDIANS,A,INDIANS_A,T69,1
SUMMER,INDIANS,B,INDIANS_B,T70,2
SUMMER,INDIANS,C,INDIANS_C,T71,3
SUMMER,INDIANS,D,INDIANS_D,T72,4
SUMMER,ISTHMUS,A,ISTHMUS_A,T73,1
SUMMER,ISTHMUS,B,ISTHMUS_B,T74,2
SUMMER,ISTHMUS,C,ISTHMUS_C,T75,3
SUMMER,ISTHMUS,D,ISTHMUS_D,T76,4
SUMMER,PARADISE,A,PARADISE_A,T77,1
SUMMER,PARADISE,B,PARADISE_B,T78,2
SUMMER,PARADISE,C,PARADISE_C,T79,3
SUMMER,PARADISE,D,PARADISE_D,T80,4
SUMMER,PARSONS,A,PARSONS_A,T81,1
SUMMER,PARSONS,B,PARSONS_B,T82,2
SUMMER,PARSONS,C,PARSONS_C,T83,3
SUMMER,PARSONS,D,PARSONS_D,T84,4
SUMMER-2,ARROW,A,ARROW_A,T85,1
SUMMER-2,ARROW,B,ARROW_B,T86,2
SUMMER-2,ARROW,C,ARROW_C,T87,3
SUMMER-2,ARROW,D,ARROW_D,T88,4
SUMMER-2,BEYOND,A,BEYOND_A,T89,1
SUMMER-2,BEYOND,B,BEYOND_B,T90,2
SUMMER-2,BEYOND,C,BEYOND_C,T91,3
SUMMER-2,BEYOND,D,BEYOND_D,T92,4
SUMMER-2,EMPIRE,A,EMPIRE_A,T93,1
SUMMER-2,EMPIRE,B,EMPIRE_B,T94,2
SUMMER-2,EMPIRE,C,EMPIRE_C,T95,3
SUMMER-2,EMPIRE,D,EMPIRE_D,T96,4
SUMMER-2,INDIANS,A,INDIANS_A,T97,1
SUMMER-2,INDIANS,B,INDIANS_B,T98,2
SUMMER-2,INDIANS,C,INDIANS_C,T99,3
SUMMER-2,INDIANS,D,INDIANS_D,T100,4
SUMMER-2,ISTHMUS,A,ISTHMUS_A,T101,1
SUMMER-2,ISTHMUS,B,ISTHMUS_B,T102,2
SUMMER-2,ISTHMUS,C,ISTHMUS_C,T103,3
SUMMER-2,ISTHMUS,D,ISTHMUS_D,T104,4
SUMMER-2,PARADISE,A,PARADISE_A,T105,1
SUMMER-2,PARADISE,B,PARADISE_B,T106,2
SUMMER-2,PARADISE,C,PARADISE_C,T107,3
SUMMER-2,PARADISE,D,PARADISE_D,T108,4
SUMMER-2,PARSONS,A,PARSONS_A,T109,1
SUMMER-2,PARSONS,B,PARSONS_B,T110,2
SUMMER-2,PARSONS,C,PARSONS_C,T111,3
SUMMER-2,PARSONS,D,PARSONS_D,T112,4
WINTER,ARROW,A,ARROW_A,T113,1
WINTER,ARROW,B,ARROW_B,T114,2
WINTER,ARROW,C,ARROW_C,T115,3
WINTER,ARROW,D,ARROW_D,T116,4
WINTER,BEYOND,A,BEYOND_A,T117,1
WINTER,BEYOND,B,BEYOND_B,T118,2
WINTER,BEYOND,C,BEYOND_C,T119,3
WINTER,BEYOND,D,BEYOND_D,T120,4
WINTER,EMPIRE,A,EMPIRE_A,T121,1
WINTER,EMPIRE,B,EMPIRE_B,T122,2
WINTER,EMPIRE,C,EMPIRE_C,T123,3
WINTER,EMPIRE,D,EMPIRE_D,T124,4
WINTER,INDIANS,A,INDIANS_A,T125,1
WINTER,INDIANS,B,INDIANS_B,T126,2
WINTER,INDIANS,C,INDIANS_C,T127,3
WINTER,INDIANS,D,INDIANS_D,T128,4
WINTER,ISTHMUS,A,ISTHMUS_A,T129,1
WINTER,ISTHMUS,B,ISTHMUS_B,T130,2
WINTER,ISTHMUS,C,ISTHMUS_C,T131,3
WINTER,ISTHMUS,D,ISTHMUS_D,T132,4
WINTER,PARADISE,A,PARADISE_A,T133,1
WINTER,PARADISE,B,PARADISE_B,T134,2
WINTER,PARADISE,C,PARADISE_C,T135,3
WINTER,PARADISE,D,PARADISE_D,T136,4
WINTER,PARSONS,A,PARSONS_A,T137,1
WINTER,PARSONS,B,PARSONS_B,T138,2
WINTER,PARSONS,C,PARSONS_C,T139,3
WINTER,PARSONS,D,PARSONS_D,T140,4